Date,Game_Index,Team,GameYear
2018-10-16,1,BOS,18
2018-10-16,1,PHI,18
2018-10-16,2,GSW,18
2018-10-16,2,OKC,18
2018-10-17,1,CHO,18
2018-10-17,1,MIL,18
2018-10-17,2,DET,18
2018-10-17,2,BRK,18
2018-10-17,3,HOU,18
2018-10-17,3,NOP,18
2018-10-17,4,IND,18
2018-10-17,4,MEM,18
2018-10-17,5,LAC,18
2018-10-17,5,DEN,18
2018-10-17,6,NYK,18
2018-10-17,6,ATL,18
2018-10-17,7,ORL,18
2018-10-17,7,MIA,18
2018-10-17,8,PHO,18
2018-10-17,8,DAL,18
2018-10-17,9,SAC,18
2018-10-17,9,UTA,18
2018-10-17,10,SAS,18
2018-10-17,10,MIN,18
2018-10-17,11,TOR,18
2018-10-17,11,CLE,18
2018-10-18,1,PHI,18
2018-10-18,1,CHI,18
2018-10-18,2,POR,18
2018-10-18,2,LAL,18
2018-10-18,3,WAS,18
2018-10-18,3,MIA,18
2018-10-19,1,BRK,18
2018-10-19,1,NYK,18
2018-10-19,2,LAC,18
2018-10-19,2,OKC,18
2018-10-19,3,MEM,18
2018-10-19,3,ATL,18
2018-10-19,4,MIL,18
2018-10-19,4,IND,18
2018-10-19,5,MIN,18
2018-10-19,5,CLE,18
2018-10-19,6,NOP,18
2018-10-19,6,SAC,18
2018-10-19,7,ORL,18
2018-10-19,7,CHO,18
2018-10-19,8,TOR,18
2018-10-19,8,BOS,18
2018-10-19,9,UTA,18
2018-10-19,9,GSW,18
2018-10-20,1,CHI,18
2018-10-20,1,DET,18
2018-10-20,2,DAL,18
2018-10-20,2,MIN,18
2018-10-20,3,DEN,18
2018-10-20,3,PHO,18
2018-10-20,4,IND,18
2018-10-20,4,BRK,18
2018-10-20,5,LAL,18
2018-10-20,5,HOU,18
2018-10-20,6,MIA,18
2018-10-20,6,CHO,18
2018-10-20,7,NYK,18
2018-10-20,7,BOS,18
2018-10-20,8,PHI,18
2018-10-20,8,ORL,18
2018-10-20,9,POR,18
2018-10-20,9,SAS,18
2018-10-20,10,WAS,18
2018-10-20,10,TOR,18
2018-10-21,1,CLE,18
2018-10-21,1,ATL,18
2018-10-21,2,DEN,18
2018-10-21,2,GSW,18
2018-10-21,3,LAC,18
2018-10-21,3,HOU,18
2018-10-21,4,OKC,18
2018-10-21,4,SAC,18
2018-10-22,1,BOS,18
2018-10-22,1,ORL,18
2018-10-22,2,DAL,18
2018-10-22,2,CHI,18
2018-10-22,3,GSW,18
2018-10-22,3,PHO,18
2018-10-22,4,LAL,18
2018-10-22,4,SAS,18
2018-10-22,5,MIL,18
2018-10-22,5,NYK,18
2018-10-22,6,MIN,18
2018-10-22,6,IND,18
2018-10-22,7,POR,18
2018-10-22,7,WAS,18
2018-10-22,8,TOR,18
2018-10-22,8,CHO,18
2018-10-22,9,UTA,18
2018-10-22,9,MEM,18
2018-10-23,1,DEN,18
